"","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Variable","Anot"
"X19","no_IgA",105842.326376153,0.705126662027874,0.277489682697055,2.54109145671439,0.0110507009079949,0.0348228983519841,"NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione","NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione"
"X20","no_IgA",91275.2970145905,-0.528928372114412,0.251755080004116,-2.10096404849413,0.0356441222854791,0.0853734219257039,"Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,","Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,"
"X21","no_IgA",437714.294031919,0.24719522019871,0.282454107797614,0.875169499661985,0.381481686083746,0.499119210426752,"Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14","1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine"
"X22","no_IgA",173617.868863505,-0.0526425677878992,0.260551773200949,-0.202042638747651,0.839883390585728,0.881432392240145,"Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14","1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine"
"X23","no_IgA",86772.0013284204,-1.87946747353573,0.368494278218755,-5.10039798343894,3.38940029625085e-07,6.39144055864446e-06,"Tryptophan Conjugated Muricholic Acid","Tryptophan Conjugated Muricholic Acid"
"X24","no_IgA",149083.816862156,-0.142622113217721,0.32610917922946,-0.43734467565345,0.661861400098406,0.743186524874203,"MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7","MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7"
"X25","no_IgA",35171.3788758416,0.179847557622311,0.320101550912333,0.561845317867787,0.574221412756826,0.67748415878576,"NCGC00180746-02_C30H48O6_Olean-12-en-28-oic acid, 2,3,19,24-tetrahydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-","NCGC00180746-02_C30H48O6_Olean-12-en-28-oic acid, 2,3,19,24-tetrahydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-"
"X26","no_IgA",50784.0457727742,-0.33101788829845,0.269973079749187,-1.22611442817178,0.220155617041372,0.331069459550823,"MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE","MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE"
"X27","no_IgA",967749.155452333,-0.0565927452095964,0.355384670240296,-0.159243630771498,0.873476930032096,0.907072196571792,"LysoPhosphatidylcholine_16_0","LysoPhosphatidylcholine_16_0"
"X28","no_IgA",15562.327749067,-0.311046743836489,0.289700438729046,-1.07368406206457,0.282964307026646,0.395484231467831,"PrednisoloneAcetate","PrednisoloneAcetate"
"X29","no_IgA",43764.6635251241,-0.444289655693375,0.272777608677921,-1.62876145826898,0.103363526695886,0.192470015226823,"Spectral Match to Lithocholic acid from NIST14","Lithocholic acid"
"X30","no_IgA",79294.0786740164,-0.23394334834662,0.120026174899711,-1.94910275647868,0.0512831545654732,0.11229997271127,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14","1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine"
"X31","no_IgA",53303.50596089,1.22400435890061,0.337669097261416,3.62486342051318,0.000289114202243922,0.00208162225615624,"NCGC00380341-01!methyl 3-(3,4-dihydroxyphenyl)-2-[(2,2-dimethylchromen-6-yl)methyl]-4-methoxy-5-oxofuran-2-carboxylate","NCGC00380341-01!methyl 3-(3,4-dihydroxyphenyl)-2-[(2,2-dimethylchromen-6-yl)methyl]-4-methoxy-5-oxofuran-2-carboxylate"
"X32","no_IgA",39187.8021799861,-0.414293729164252,0.248143773709474,-1.66957132540954,0.0950042076403332,0.181454981795363,"NCGC00347643-02_C30H46O3_(5xi,9xi,13xi,18xi,19beta)-3-Oxolup-20(29)-en-28-oic acid","NCGC00347643-02_C30H46O3_(5xi,9xi,13xi,18xi,19beta)-3-Oxolup-20(29)-en-28-oic acid"
"X33","no_IgA",50573.364754719,-1.00761681951766,0.25117439194732,-4.01162240985536,6.03028955287102e-05,0.000572368985949293,"MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE","MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE"
"X34","no_IgA",74740.3341704711,-0.0215740022471544,0.235327079395112,-0.0916766668018339,0.926954936500862,0.940562381951187,"Spectral Match to Oleanolic acid from NIST14","Oleanolic acid"
"X35","no_IgA",56007.8590935362,0.0788377738535482,0.301066710514278,0.261861478204876,0.793428239470193,0.846893754259289,"Spectral Match to Monopalmitolein (9c) from NIST14","Monopalmitolein (9c)"
"X36","no_IgA",102002.191276772,-1.36754012736133,0.297588862435774,-4.5954009036762,4.31918025900505e-06,6.10855493773571e-05,"Tryptophan Conjugated Muricholic Acid","Tryptophan Conjugated Muricholic Acid"
"X37","no_IgA",120075.785239731,-0.888006451027044,0.295836964535593,-3.0016751031131,0.00268498570852688,0.0120368415914337,"NCGC00347770-02_C23H32O4_Carda-5,20(22)-dienolide, 3,14-dihydroxy-, (3beta,9xi)-","NCGC00347770-02_C23H32O4_Carda-5,20(22)-dienolide, 3,14-dihydroxy-, (3beta,9xi)-"
"X38","no_IgA",146366.113960725,-0.0672838438875288,0.235862852600057,-0.285266811394074,0.775439737576074,0.833685437321607,"Spectral Match to Oleoyl L-carnitine from NIST14","Oleoyl L-carnitine"
"X39","no_IgA",115409.718042379,0.0829404633304844,0.257077253415396,0.322628557091614,0.746976563885569,0.811159193689265,"Spectral Match to Palmitoylcarnitine from NIST14","Palmitoylcarnitine"
"X40","no_IgA",380131.986032501,0.188642535787079,0.310018505408617,0.608487985381519,0.542863872106405,0.650123266191944,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine"
"X41","no_IgA",55273.9589558994,0.769386505476388,0.268793517293189,2.86237002002237,0.00420485690697604,0.0173340364344292,"Spectral Match to Linolenic acid ethyl ester from NIST14","Linolenic acid ethyl ester"
"X42","no_IgA",106731.75918496,0.417040301966246,0.224416557252831,1.85833125269987,0.0631219883173901,0.131329110544763,"NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione","NCGC00380950-01_C19H20O6_6a,7,8,12a-Tetrahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione"
"X43","no_IgA",10292.0030887047,-0.339115501806773,0.247490224082058,-1.37021776542711,0.170618934260489,0.273326112306538,"Spectral Match to Orientin from NIST14","Orientin"
"X44","no_IgA",155480.316777156,0.312765842377851,0.151200048385979,2.06855649661851,0.0385877238323437,0.0909567776048102,"PC(0:0/18:0); [M+H]+ C26H55N1O7P1","PC(0:0/18:0); [M+H]+ C26H55N1O7P1"
"X45","no_IgA",14706.3595271543,-0.272128454622585,0.285573115326637,-0.952920425689672,0.340630390127891,0.457232807817286,"Spectral Match to Urobilin from NIST14","Urobilin"
"X46","no_IgA",182022.555689726,-0.461862792397418,0.322660643880024,-1.43141967003932,0.152309974304786,0.253423318591156,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole","2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole"
"X47","no_IgA",92895.9341094212,0.163891565140195,0.285819391356797,0.573409537967997,0.566367433780763,0.670163855907915,"MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE","MLS001077317-01!17BETA-ESTRADIOL 17-HEMISUCCINATE"
"X48","no_IgA",82466.4448228955,-1.03495169904805,0.29534329539318,-3.50423292213307,0.000457924642250575,0.00300560483421925,"Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,","Massbank:EA262112 Methylprednisolone|(6alpha,11beta)-11,17,21-trihydroxy-6-methylpregna-1,4-diene-3,20-dione|(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxy-1-oxoethyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,"
"X49","no_IgA",257305.405477177,0.160830213095472,0.146701346595963,1.09631040769123,0.27294295629149,0.386479418443731,"Massbank:CE000694 1-O-hexadecyl-2-C-methyl-3-phosphatidylcholine","Massbank:CE000694 1-O-hexadecyl-2-C-methyl-3-phosphatidylcholine"
"X50","no_IgA",28432.817079878,-0.854835117385463,0.299702134741849,-2.85228237737373,0.00434065225718918,0.0177125042298082,"NCGC00347770-02_C23H32O4_Carda-5,20(22)-dienolide, 3,14-dihydroxy-, (3beta,9xi)-","NCGC00347770-02_C23H32O4_Carda-5,20(22)-dienolide, 3,14-dihydroxy-, (3beta,9xi)-"
"X51","no_IgA",16108.5647018982,1.0038816369871,0.290702102801237,3.45330022491612,0.000553772308779973,0.00340871244989953,"Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14","3.beta.-Hydroxy-5-cholenoic acid"
"X52","no_IgA",13664.2202019625,-0.915714646330732,0.326714030593853,-2.80280171826805,0.00506608050722406,0.0199950287128976,"NCGC00380821-01!","NCGC00380821-01!"
"X53","no_IgA",92659.1425481752,0.437806518393538,0.261273724214953,1.67566225692618,0.0938043667104906,0.179451831967895,"Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14","1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine"
"X54","no_IgA",94858.9873204368,0.328975808286329,0.157049428146054,2.09472783294942,0.0361951935607625,0.0865188932599312,"Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14","1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine"
"X55","no_IgA",44791.2618266819,0.244531113955423,0.20084770305997,1.21749519775394,0.223415862460016,0.334569807680369,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Octadecanoyl-sn-glycero-3-phosphocholine"
"X56","no_IgA",39120.2981031625,0.76226584083053,0.231173568498285,3.29737454754125,0.000975932616534495,0.00540776328626926,"Spectral Match to 1,2-Didecanoyl PC from NIST14","1,2-Didecanoyl PC"
"X57","no_IgA",121398.369550479,0.0589607263039329,0.159762302625925,0.369052807419697,0.712088363984595,0.781156375841379,"NCGC00180745-02_C28H36O5_2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydro-10,11-dihydroxy-2,4a,6a,12b,14a-pentamethyl-8-oxo-, (2R,4aS,6aS,12bR,14aS,14bR)-","NCGC00180745-02_C28H36O5_2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,8,12b,13,14,14a,14b-tetradecahydro-10,11-dihydroxy-2,4a,6a,12b,14a-pentamethyl-8-oxo-, (2R,4aS,6aS,12bR,14aS,14bR)-"
"X58","no_IgA",23707.4374075143,0.372564183279368,0.245020314335327,1.52054405892847,0.12837429423281,0.224277443453792,"Spectral Match to Monolinolenin (9c,12c,15c) from NIST14","Monolinolenin (9c,12c,15c)"
"X59","no_IgA",25342.305554205,0.389520370020567,0.236991433244355,1.64360527588752,0.100257763455218,0.188161489707422,"Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","1-Myristoyl-sn-glycero-3-phosphocholine"
"X60","no_IgA",42529.9347696909,-0.23566526873169,0.215995654308577,-1.09106486186529,0.275244342989414,0.388349500559886,"NCGC00380341-01!methyl 3-(3,4-dihydroxyphenyl)-2-[(2,2-dimethylchromen-6-yl)methyl]-4-methoxy-5-oxofuran-2-carboxylate","NCGC00380341-01!methyl 3-(3,4-dihydroxyphenyl)-2-[(2,2-dimethylchromen-6-yl)methyl]-4-methoxy-5-oxofuran-2-carboxylate"
"X61","no_IgA",161148.417449628,0.37695285636318,0.160863768000052,2.34330490358188,0.0191137557464502,0.0533495479717592,"NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate","NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate"
"X62","no_IgA",33750.3854371788,-0.0270474529800492,0.232339883763102,-0.116413301676725,0.907324993856187,0.925237847812146,"Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14","1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine"
"X63","no_IgA",22953.8004595678,0.433265951474758,0.17491877523636,2.47695509466782,0.0132508572494104,0.0400560264944008,"Spectral Match to 1-O-Hexadecyl-2-O-(2E-butenoyl)-sn-glyceryl-3-phosphocholine from NIST14","1-O-Hexadecyl-2-O-(2E-butenoyl)-sn-glyceryl-3-phosphocholine"
"X64","no_IgA",32291.9477331027,-0.616517348587795,0.270469847691376,-2.27943097483932,0.02264145878678,0.0607179526832835,"Spectral Match to Tauroursodeoxycholic acid from NIST14","Tauroursodeoxycholic acid"
"X65","no_IgA",15540.6010845657,-0.396015897775361,0.310036411193538,-1.27732060970139,0.201489080337856,0.311678421147621,"Spectral Match to 6,15-Diketo-13,14-dihydro Prostaglandin F1.alpha. from NIST14","6,15-Diketo-13,14-dihydro Prostaglandin F1.alpha."
"X66","no_IgA",26433.1923844317,0.527869148440952,0.240467223495376,2.19518128403517,0.0281505962738464,0.0713068408812996,"Spectral Match to 1-Octadecyl-sn-glycero-3-phosphocholine from NIST14","1-Octadecyl-sn-glycero-3-phosphocholine"
"X67","no_IgA",8602.93256799493,0.583454085605805,0.42677607867625,1.36711993656142,0.171587715244729,0.274355593150388,"Spectral Match to 1-Octadecyl-sn-glycero-3-phosphocholine from NIST14","1-Octadecyl-sn-glycero-3-phosphocholine"
"X68","no_IgA",10258.4139076644,0.475404777529581,0.304427691071563,1.56163447502489,0.118374123074248,0.211278295997075,"Spectral Match to N-Oleoyltaurine from NIST14","N-Oleoyltaurine"
"X69","no_IgA",9777.60717054621,0.462944484271858,0.215644179067017,2.14679796261964,0.0318093696172267,0.0780775436059201,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine"
"X70","no_IgA",9646.04960546727,0.957515345637183,0.244440605697755,3.91716974724375,8.95946628884196e-05,0.000812507324514828,"Spectral Match to 1,2-Didecanoyl PC from NIST14","1,2-Didecanoyl PC"
"X71","no_IgA",41353.2296463,-0.837141886571642,0.255462487356278,-3.27696600481358,0.00104929002114299,0.00561511957260304,"Spectral Match to 1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14","1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine"
"X72","no_IgA",14822.2724780763,0.0929711872801246,0.27435252212369,0.338874913780488,0.734703963367119,0.799293322784008,"Spectral Match to Glycodeoxycholic acid from NIST14","Glycodeoxycholic acid"
"X73","no_IgA",13393.2962195591,0.0719635340392656,0.15855188648095,0.453880023987681,0.649915182053266,0.731847617326332,"Spectral Match to 1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine from NIST14","1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine"
"X74","no_IgA",55041.7762721805,0.0629480806771001,0.151144562019817,0.416475987199902,0.677061735121498,0.754549100679493,"NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid","NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid"
"X75","no_IgA",18851.0711868991,0.107894539642503,0.15987144565566,0.674883117494865,0.499750027345536,0.608926187165638,"Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Hexadecanoyl-sn-glycero-3-phosphocholine"
"X76","no_IgA",25405.4489073483,0.040258564273788,0.168199323752902,0.239350333732204,0.810833938714359,0.860063142136303,"Spectral Match to 1,2-Didecanoyl PC from NIST14","1,2-Didecanoyl PC"
"X77","no_IgA",5897.82557574391,0.561790961761803,0.286893972331946,1.95818321728904,0.0502085176991715,0.11066367166348,"Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Pentadecanoyl-sn-glycero-3-phosphocholine"
"X78","no_IgA",828.404761284883,0.823155144586329,0.592683834619106,1.38886046236665,0.164875185298501,0.267950369541203,"Spectral Match to Taurocholic acid from NIST14","Taurocholic acid"
"X79","no_IgA",13157.6421531527,-1.28914922336986,0.257442510749512,-5.00752272659499,5.51350432632399e-07,9.77618379055656e-06,"Spectral Match to Coproporphyrin I from NIST14","Coproporphyrin I"
"X80","no_IgA",10664.2406205177,0.0438609308601947,0.161501468651668,0.271582241489057,0.785943255640208,0.842690061101595,"Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Heptadecanoyl-sn-glycero-3-phosphocholine"
"X81","no_IgA",5057.8354127903,0.527172512371776,0.205110243975569,2.57019104533155,0.0101642444526843,0.032812832635296,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Octadecanoyl-sn-glycero-3-phosphocholine"
"X82","no_IgA",14326.1821142684,-0.452434703919317,0.230207586198523,-1.96533359908111,0.0493756392423996,0.109486048697307,"Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Pentadecanoyl-sn-glycero-3-phosphocholine"
"X83","no_IgA",1788.67509074488,0.866317165857926,0.266088676661951,3.25574607956176,0.0011309484494679,0.0059714078131905,"MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7","MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7"
"X84","no_IgA",12971.4926820042,-0.548250258374676,0.272800284710428,-2.00971292591073,0.044461581104257,0.100736006385859,"NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-","NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-"
"X85","no_IgA",9622.25049503805,0.66221585103754,0.237805406560059,2.7846963642111,0.00535778687763597,0.0206657493851673,"NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate","NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate"
"X86","no_IgA",10027.1117314438,0.259645699587756,0.177264711946803,1.46473427641749,0.142993429415356,0.241644657390388,"Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","1-Myristoyl-sn-glycero-3-phosphocholine"
"X87","no_IgA",4410.95860245198,-0.62590776242823,0.270599659091045,-2.31303973009677,0.0207204548594552,0.0563292914714709,"Spectral Match to Uvaol from NIST14","Uvaol"
"X88","no_IgA",7468.19069359659,-0.208807672440126,0.217969600352485,-0.957966946319379,0.338079426303901,0.454342034444609,"NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid","NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid"
"X89","no_IgA",2990.86454368299,0.774261573629059,0.241685085242776,3.20359683284264,0.00135722390043662,0.00694992238671858,"NCGC00380944-01_C30H46O3_(3beta,5xi,9xi,13alpha,17alpha,18xi)-3-Hydroxy-13,28-epoxyurs-11-en-28-one","NCGC00380944-01_C30H46O3_(3beta,5xi,9xi,13alpha,17alpha,18xi)-3-Hydroxy-13,28-epoxyurs-11-en-28-one"
"X90","no_IgA",26649.4423324664,-0.539371219149633,0.249708565795935,-2.16000287146903,0.0307724472774629,0.0760034664566028,"MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7","MLS001066334-01!D-erythro-Dihydrosphingosine764-22-7"
"X91","no_IgA",30278.8237853227,-0.476297277328027,0.302124341943796,-1.57649421514216,0.114911950897661,0.207155383408834,"2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole","2-(2,4-diiodophenyl)-4,4-dimethyl-4,5-dihydrooxazole"
"X92","no_IgA",7885.84284837815,0.101356797920381,0.19111583430865,0.530342230862413,0.59587467152587,0.688871854961059,"Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14","1-Octadecanoyl-sn-glycero-3-phosphocholine"
"X93","no_IgA",6462.16738968249,-0.301188274431781,0.191737700868582,-1.57083491179556,0.116221000447561,0.208565783280518,"Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14","1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine"
"X94","no_IgA",1823.50620582504,0.166911290940714,0.300173589671114,0.556049221797263,0.578177206439187,0.679223530986714,"Spectral Match to Lyso-PC(16:0) from NIST14","Lyso-PC(16:0)"
