"","Variable","Phenotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15","k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__","no_IgA",1.03476715575629,0.0312331603671241,0.157760627974892,0.197978169636184,0.843062143772429,0.998644113602911
"16","g__Bifidobacterium","no_IgA",74.8253091905176,0.513972040232287,0.184324834744667,2.78840364047665,0.00529685022828496,0.0215749753200875
"17","k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__","no_IgA",105.530559411514,-0.107910156350019,0.220875626364898,-0.488556198463229,0.625155929650009,0.998644113602911
"18","g__Adlercreutzia","no_IgA",24.4623672698713,-0.238294755882564,0.079786676413263,-2.98664848060964,0.00282053832862201,0.0127305378616183
"19","k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f___g__","no_IgA",296.152161975671,1.64154002891544,0.240483504111836,6.82599846080107,8.73158656897555e-12,1.82271869627365e-10
"20","g__Odoribacter","no_IgA",177.460696631926,-0.287348755132704,0.213488536938691,-1.34596807516285,0.178312812592068,0.472670471474212
"21","g__Bacteroides","no_IgA",2017.01231295768,-0.441596824927066,0.153828737592031,-2.87070434198208,0.00409558391408813,0.0170990628413179
"22","g__Parabacteroides","no_IgA",751.06079581928,-0.354200611693998,0.184221320338751,-1.92269065840308,0.0545189107243131,0.162583180195719
"23","g__Prevotella","no_IgA",955.866545318245,-0.0243372004688682,0.314504181611375,-0.0773827563887243,0.938319058054482,0.998644113602911
"24","k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_g__","no_IgA",709.738936039101,-1.50927141653342,0.155627281616552,-9.69798740205522,3.07504269385761e-22,1.7117737662474e-20
"25","g__AF12","no_IgA",161.281555144305,-0.362390493616367,0.229219629982924,-1.5809749524653,0.113883764915978,0.327906702430488
"26","g__Alistipes","no_IgA",2.49521119935249,0.297438899374342,0.0995340985029288,2.98831158214178,0.00280523407777907,0.0127305378616183
"27","k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__S24-7_g__","no_IgA",5506.27072488117,-0.674779402880774,0.156092918210038,-4.32293412551101,1.53967716932142e-05,0.000128563043638338
"28","g__Chryseobacterium","no_IgA",3.03448427317316,0.00102153232056585,0.0928976796812276,0.0109963168517359,0.991226385374755,0.998644113602911
"29","g__Cloacibacterium","no_IgA",1.02750086723783,-0.0414911498484484,0.160280604063208,-0.258865694267574,0.795738868156865,0.998644113602911
"30","k__Bacteria_p__Bacteroidetes_c__Flavobacteriia_o__Flavobacteriales_f__Flavobacteriaceae_g__","no_IgA",2.01659597455277,-0.0044982416078798,0.11388771298536,-0.0394971633898561,0.9684940150408,0.998644113602911
"31","k__Bacteria_p__Bacteroidetes_c__Sphingobacteriia_o__Sphingobacteriales_f__Sphingobacteriaceae_g__","no_IgA",1.02753673858751,-0.0414921048304683,0.160280660579634,-0.258871561175362,0.795734341290825,0.998644113602911
"32","k__Bacteria_p__Cyanobacteria_c__4C0d-2_o__YS2_f___g__","no_IgA",24.1525046818306,-0.583261838335166,0.103045519354067,-5.66023483593757,1.51165993359917e-08,1.80319434936473e-07
"33","k__Bacteria_p__Cyanobacteria_c__Chloroplast_o__CAB-I_f___g__","no_IgA",2.01177341022785,0.000193614019339769,0.113934001230403,0.0016993524079632,0.998644113602911,0.998644113602911
"34","k__Bacteria_p__Cyanobacteria_c__Chloroplast_o__Streptophyta_f___g__","no_IgA",5.12323091504364,0.00242848237327809,0.071643228285564,0.0338968864384274,0.972959376025205,0.998644113602911
"35","g__Mucispirillum","no_IgA",492.554967574306,0.970248919231478,0.236540840275149,4.10182409981661,4.09905843456452e-05,0.000325972742177273
"36","k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f___g__","no_IgA",2.02861186186964,0.00143189620906053,0.113458322060492,0.0126204599456097,0.98993059716226,0.998644113602911
"37","g__Anoxybacillus","no_IgA",2.06467546644351,0.00155398669717322,0.112646587185974,0.0137952399268667,0.988993340161308,0.998644113602911
"38","g__Bacillus","no_IgA",17.2563547797306,-0.0104087084876011,0.0392980587761315,-0.264865716316832,0.791112909759728,0.998644113602911
"39","g__Geobacillus","no_IgA",9.35589184477575,-0.257411004569032,0.108066137377002,-2.38197654526157,0.0172199941972495,0.0599112298112638
"40","g__Oceanobacillus","no_IgA",2.04298921077884,-0.0300319789923039,0.113725515651269,-0.264074238928006,0.791722713854799,0.998644113602911
"41","g__Brevibacillus","no_IgA",1.04441895523272,0.194464966613626,0.153773358669545,1.26462066183731,0.206007342726074,0.513480988585886
"42","k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Planococcaceae_g__","no_IgA",7.40142922083093,-0.0872008345481832,0.0642109415972194,-1.35803700084596,0.174451943681345,0.469894751528784
"43","g__Rummeliibacillus","no_IgA",2.02378160643656,-0.0115067556757459,0.113819553008075,-0.101096475707733,0.919473875691725,0.998644113602911
"44","g__Sporosarcina","no_IgA",6.34766162540587,-0.0693480309362552,0.0674988917209661,-1.02739510484014,0.304234455578787,0.677428721088766
"45","g__Jeotgalicoccus","no_IgA",1.12370272574408,-0.196443026257914,0.158421179486797,-1.24000482065774,0.214973611115834,0.524568454951165
"46","k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Staphylococcaceae_g__Staphylococcus","no_IgA",23.5090619625858,0.0308258268584631,0.0476236074579373,0.647280382648236,0.517450495549839,0.939285138661122
"47","g__Gemella","no_IgA",1.02752987585676,0.0621120592851022,0.157544324986358,0.394251327621483,0.693395494042289,0.998644113602911
"48","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f___g__","no_IgA",4.1101789198968,0.0322496654760503,0.0795401796485855,0.405451252669176,0.685145843710749,0.998644113602911
"49","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Aerococcaceae_g__","no_IgA",3.13551785865371,-0.0745888897392762,0.0931346393703028,-0.80087162245522,0.423205969933733,0.833788493656742
"50","g__Aerococcus","no_IgA",4.22880525164302,-0.54504489604365,0.13613124581871,-4.00381920231232,6.2328005451487e-05,0.000452555517843406
"51","g__Enterococcus","no_IgA",11.8879409781692,-0.181881313515956,0.0777910872744982,-2.33807393479614,0.0193834130890175,0.0660618364462434
"52","g__Tetragenococcus","no_IgA",2.94468441406036,-0.110703783425771,0.127523312148884,-0.868106243166925,0.385336173620879,0.794458530798602
"53","g__Lactobacillus","no_IgA",1031.90787905577,0.420198255585793,0.193451164184782,2.17211541401956,0.0298469586170239,0.0995489809053021
"54","k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__","no_IgA",2.70394318793019,-0.506305096539001,0.145033797957724,-3.49094558419124,0.000481314273493454,0.00251185886479397
"55","g__Leuconostoc","no_IgA",2.42247525581042,-0.345713285800385,0.134460284220213,-2.57111821386747,0.010137071785291,0.0384747951850816
"56","g__Weissella","no_IgA",2.01899008805238,-0.00683818158177033,0.113867145659269,-0.060054035272234,0.952112598387352,0.998644113602911
"57","g__Lactococcus","no_IgA",6.2494214078153,0.0716206993056551,0.0643477945854728,1.11302492598284,0.265697724380855,0.607829040706886
"58","g__Streptococcus","no_IgA",16.9671398198203,0.0342212049741812,0.0503945607732742,0.679065447720497,0.497096394133686,0.912295533930636
"59","g__Turicibacter","no_IgA",15.30475450941,-1.75554074243207,0.252536886473873,-6.9516210758134,3.61112289669975e-12,1.00509587291476e-10
"60","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f___g__","no_IgA",6068.95111483416,0.0200334864000943,0.113872876740046,0.175928517603254,0.860350100952703,0.998644113602911
"61","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Mogibacteriaceae]_g__","no_IgA",27.5918987456951,-0.0222048633616688,0.084004496086306,-0.264329463257009,0.791526058994159,0.998644113602911
"62","g__Anaerococcus","no_IgA",1.06831188112753,0.303777264422273,0.151871522154091,2.00022532278341,0.0454759385883149,0.140638550819418
"63","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Christensenellaceae_g__","no_IgA",10.31378192898,-0.0370376443619927,0.11046381492935,-0.335292098916564,0.737404753290522,0.998644113602911
"64","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__","no_IgA",71.6978830995318,-0.169801362731647,0.143651008255201,-1.1820408697027,0.237189484645634,0.557896393462266
"65","g__02d06","no_IgA",2.08390988824451,0.0175139481958308,0.111696491486329,0.156799447885741,0.87540290799271,0.998644113602911
"66","g__Candidatus Arthromitus","no_IgA",5.21671472568155,-0.8651978404795,0.231409631481606,-3.73881516918743,0.000184889595913189,0.00106470905232768
"67","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium","no_IgA",11.709401603287,-0.0260116939605342,0.0501485574240156,-0.518692765987273,0.603975007109296,0.987422221485336
"68","g__Sarcina","no_IgA",1.6480574102384,0.407354329828412,0.139957772413224,2.91055168144361,0.00360791292688175,0.0154492681740834
"69","g__SMB53","no_IgA",4.53419900868856,0.55861692448676,0.142554069274294,3.91863190809308,8.90529899356069e-05,0.000594873972769854
"70","g__Thermoanaerobacterium","no_IgA",2.05983643874208,-0.0460494012378747,0.113589853700179,-0.405400656289446,0.685183028640757,0.998644113602911
"71","g__Dehalobacterium","no_IgA",69.8773263170281,-0.209141229796958,0.133992054224564,-1.56084799958696,0.118559619029326,0.335584006405041
"72","g__Anaerofustis","no_IgA",2.15608842459039,0.0335887253694225,0.1096601293366,0.306298429270701,0.759377435043785,0.998644113602911
"73","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__","no_IgA",1608.87359259017,-0.310985494938933,0.103088722174613,-3.01667814266028,0.00255561004210876,0.0121939107723475
"74","g__[Ruminococcus]","no_IgA",791.888741080002,0.100152546315759,0.147493643992383,0.679029574460384,0.497119123279568,0.912295533930636
"75","g__Anaerostipes","no_IgA",2.23786882486022,0.193418318472412,0.112360848471498,1.72140314979443,0.08517769310534,0.249555697343715
"76","g__Blautia","no_IgA",14.0707201053782,0.0977667538529573,0.0713216144210771,1.37078716804909,0.170441312218494,0.466618018696532
"77","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Clostridium","no_IgA",1.06608231817484,-0.112752006303073,0.159342470073245,-0.707607998365062,0.479188724478384,0.899151876268428
"78","g__Coprococcus","no_IgA",126.216125447166,-0.106872249465706,0.121764821588364,-0.87769396835316,0.380109818632378,0.794458530798602
"79","g__Dorea","no_IgA",90.2754965482566,-0.787225665892603,0.131798733049274,-5.97293803725938,2.33018421365096e-09,3.24283969733091e-08
"80","g__Roseburia","no_IgA",58.6591504153746,0.332632544206395,0.131951648425952,2.52086690976854,0.0117066120356557,0.0425000915207502
"81","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__","no_IgA",19.15891528371,-1.40785599680864,0.234548880229897,-6.00239913926986,1.94423036815853e-09,2.95169519529523e-08
"82","g__rc4-4","no_IgA",1.2993192369676,-0.482475820219503,0.183256243751616,-2.63279335176949,0.00846858554625954,0.0328896229354731
"83","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__","no_IgA",171.052685461424,0.114993921402529,0.210339961441916,0.54670506077032,0.584581376809374,0.987422221485336
"84","g__[Clostridium]","no_IgA",1.03956453496172,-0.0641406780900553,0.160198342578503,-0.40038290694939,0.688874511991163,0.998644113602911
"85","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__","no_IgA",478.845620393186,-0.286902367589465,0.0976302440386234,-2.93866281309267,0.00329631474641743,0.0144864358592556
"86","g__Anaerotruncus","no_IgA",6.12905015626938,1.31374514294225,0.212334496131625,6.18714889420448,6.1262096177324e-10,1.02307700616131e-08
"87","g__Faecalibacterium","no_IgA",3.03687270389636,-0.0122833272626697,0.0930861190128614,-0.131956594526973,0.895018623995577,0.998644113602911
"88","g__Oscillospira","no_IgA",1701.53246493158,-0.338076462450675,0.13274873431165,-2.54673962959966,0.0108734528580477,0.0403525917176439
"89","k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus","no_IgA",360.365291338055,-0.0237807262017915,0.113742219369659,-0.209075630259199,0.834389198526956,0.998644113602911
"90","g__Veillonella","no_IgA",5.05109494370422,0.00234281243577137,0.0721163072053554,0.0324865835004567,0.974084015199079,0.998644113602911
"91","g__Caldicellulosiruptor","no_IgA",3.09946953188049,-0.00572016115409398,0.092138656745965,-0.0620820983950852,0.950497452907316,0.998644113602911
"92","k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__","no_IgA",75.6608342537247,-0.407131974763534,0.188976020332533,-2.15441077681243,0.0312079721806739,0.100225602964856
"93","g__[Eubacterium]","no_IgA",2.17537429717517,-0.0581128680932659,0.112442126629092,-0.51682469760609,0.605278537716004,0.987422221485336
"94","g__Allobaculum","no_IgA",2526.08042793865,-0.246070527934471,0.23066512135626,-1.06678689213016,0.286068078947065,0.645586070056214
"95","k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Clostridium","no_IgA",2.65152323171219,-0.256618108807325,0.118539954851849,-2.16482374342091,0.0304011857854515,0.0995489809053021
"96","g__Coprobacillus","no_IgA",4.29768353164113,0.32611838965085,0.102765639274691,3.17341858575064,0.00150655147695831,0.00762406353491021
"97","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o___f___g__","no_IgA",1.15982546979343,-0.157277385797144,0.154399456426839,-1.01863950454818,0.308374142335044,0.677611602236216
"98","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Caulobacteraceae_g__","no_IgA",6.90455354489752,-0.573026619675608,0.129701976655062,-4.41802534127564,9.96067446135959e-06,8.7549086055108e-05
"99","g__Mycoplana","no_IgA",1.06120571116253,-0.0694986820083317,0.159594802603399,-0.43546958218332,0.663221613290816,0.998644113602911
"100","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__RF32_f___g__","no_IgA",2.05269575558914,-0.0392079822047594,0.113576134609524,-0.345213211732878,0.729934087077458,0.998644113602911
"101","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f___g__","no_IgA",2.1007726989889,-0.0581951564622227,0.112716943742151,-0.51629466280907,0.605648623321954,0.987422221485336
"102","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Bradyrhizobiaceae_g__","no_IgA",3.06334850187552,-0.0234041901146231,0.0928661016059108,-0.252020809637749,0.801024979073227,0.998644113602911
"103","g__Ochrobactrum","no_IgA",2.02139571881897,-0.00917451877190059,0.113843329176428,-0.0805889887292602,0.935768823442181,0.998644113602911
"104","g__Devosia","no_IgA",2.02380120660206,-0.0115070754061521,0.113831289970031,-0.101088860621554,0.919479920683279,0.998644113602911
"105","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Methylobacteriaceae_g__","no_IgA",3.07057179736225,-0.0280060628087696,0.0928807277981633,-0.301527167935515,0.76301253639505,0.998644113602911
"106","g__Agrobacterium","no_IgA",2.05267333061534,0.0898283305689216,0.111456005838289,0.805953253871785,0.420269803348368,0.833788493656742
"107","g__Acetobacter","no_IgA",1.05880476530117,-0.099654514331711,0.159928506468728,-0.623119145749022,0.533206229125235,0.957477852300154
"108","g__Sarcandra","no_IgA",1.19590855468979,0.0301244936147191,0.148988144181865,0.202193897911415,0.839765143375944,0.998644113602911
"109","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f___g__","no_IgA",2.03102043080047,-0.018482250387654,0.113748759608696,-0.162483093892489,0.87092544048838,0.998644113602911
"110","k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__","no_IgA",5.27860312300542,-0.318600642373929,0.104993855669155,-3.03446940150354,0.00240959196943446,0.0118353487910457
"111","g__Novosphingobium","no_IgA",3.21468283152942,-0.0827303686566354,0.0929277524442781,-0.890265464089887,0.373323360695176,0.794458530798602
"112","g__Sphingobium","no_IgA",12.581289212639,-0.668380875395922,0.124265231132076,-5.37866359968001,7.50407736833598e-08,8.35453947008072e-07
"113","g__Sphingomonas","no_IgA",5.09435924671638,-0.0038963188606795,0.071903556364482,-0.0541881244500468,0.956785282099871,0.998644113602911
"114","k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f___g__","no_IgA",2.02859133826382,0.00143241249414159,0.113458290870139,0.0126250138544841,0.989926963958135,0.998644113602911
"115","g__Achromobacter","no_IgA",3.94158322123095,-0.00422688807199844,0.0985211790203196,-0.0429033443776253,0.965778582779307,0.998644113602911
"116","g__Sutterella","no_IgA",177.725139678888,-0.321301451653068,0.243594861882162,-1.31899929731891,0.187169347385493,0.480881246359651
"117","g__Burkholderia","no_IgA",3.09223942003729,0.0502611596287704,0.0914462374945529,0.549625233424878,0.582576447852057,0.987422221485336
"118","k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__","no_IgA",15.5240318908778,-0.313247111925101,0.0789721043810012,-3.96655394180506,7.2919278249725e-05,0.00050739664448767
"119","g__Acidovorax","no_IgA",1.20296156084259,-0.341302667232099,0.16177433952438,-2.10974539123779,0.0348802924509029,0.109905827156619
"120","g__Comamonas","no_IgA",2.018990578918,-0.00683818969051636,0.113863813553742,-0.0600558639052508,0.952111141978011,0.998644113602911
"121","g__Delftia","no_IgA",2.05268524775757,-0.0216876441079104,0.113413526264201,-0.191226256887457,0.848348333161662,0.998644113602911
"122","g__Pelomonas","no_IgA",1.16938194147094,-0.205523977387297,0.155451235430803,-1.32211221620547,0.186130786460343,0.480881246359651
"123","k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_g__","no_IgA",3.02728936786789,0.0115671431629624,0.0928470659529307,0.124582753846271,0.900853882449235,0.998644113602911
"124","g__Oxalobacter","no_IgA",2.18501884439139,0.150389823039468,0.107236847481917,1.40240809545271,0.160793417300984,0.447541678154407
"125","g__Ralstonia","no_IgA",3.12342230922714,0.0359794650789413,0.0913024819508835,0.394068861110441,0.693530199986437,0.998644113602911
"126","k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Ellin6067_f___g__","no_IgA",1.04190122973716,0.183049666778277,0.15410772595651,1.18780330864096,0.234910910575371,0.557896393462266
"127","k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__","no_IgA",4.14135172995365,-0.0431444740622353,0.0802733358908771,-0.537469554284944,0.590943309857398,0.987422221485336
"128","g__Dechloromonas","no_IgA",2.86080466760085,-0.507834113714601,0.131534916624959,-3.86083122827812,0.000113001939937373,0.000690234618555417
"129","g__Petrobacter","no_IgA",1.03950873508445,-0.0641388771958476,0.160198204642281,-0.400372010030126,0.68888253679886,0.998644113602911
"130","k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__","no_IgA",1853.45684185205,2.65007175512056,0.266443660092078,9.94608674195795,2.62295286136556e-23,2.19016563924024e-21
"131","g__Bilophila","no_IgA",444.428257045648,-1.82330988632907,0.264657883666969,-6.88930879770588,5.60641220994485e-12,1.33752977008684e-10
"132","g__Desulfovibrio","no_IgA",366.313983564255,-0.164644755651631,0.189085683083518,-0.870741522925924,0.383895300909949,0.794458530798602
"133","k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria_o__Campylobacterales_f__Helicobacteraceae_g__","no_IgA",544.615400846519,-3.22048959988452,0.287510911802885,-11.2012778217352,4.01894261175941e-29,6.71163416163822e-27
"134","g__Flexispira","no_IgA",52.1000749238294,0.206842694275408,0.26754526450221,0.77311289609351,0.439455569597026,0.85336139677562
"135","g__Helicobacter","no_IgA",834.610672584826,1.22155548426905,0.235467385431232,5.18779058098391,2.12803714549384e-07,2.22113877060919e-06
"136","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__","no_IgA",209.291520130408,1.05594152968227,0.184425462570022,5.72557343746042,1.03084940564381e-08,1.32424500571167e-07
"137","g__Aquamonas","no_IgA",2.21569702952674,0.75129596550324,0.18757173255925,4.00537946337902,6.19180018351645e-05,0.000452555517843406
"138","g__Enterobacter","no_IgA",5.70163599252371,0.321150264517874,0.0833073853607038,3.85500352852703,0.000115727959997315,0.000690234618555417
"139","g__Erwinia","no_IgA",13.4787631963867,0.00633260045874615,0.044491078631072,0.142334163468079,0.886816062678212,0.998644113602911
"140","g__Klebsiella","no_IgA",13.7774192424556,-1.0107054594511,0.151904478750203,-6.65355931416043,2.86088441255254e-11,5.30852996551415e-10
"141","g__Morganella","no_IgA",1.03475158221869,-0.0551238496532431,0.160122152765721,-0.344261232447308,0.730649836411565,0.998644113602911
"142","g__Pantoea","no_IgA",2.04549911339777,0.00264973157522891,0.112983958527131,0.0234522812775463,0.981289502027357,0.998644113602911
"143","g__Plesiomonas","no_IgA",3.05377982206648,0.0350695573348846,0.0921204075058507,0.380692598788789,0.703431361387418,0.998644113602911
"144","g__Proteus","no_IgA",3.99420189328159,-0.510408727242489,0.1136687241658,-4.49031807991435,7.11168924726709e-06,6.98618884878591e-05
"145","g__Raoultella","no_IgA",2.21330079432036,0.740491548082996,0.191493282944569,3.86693223227754,0.000110213038230488,0.000690234618555417
"146","g__Salmonella","no_IgA",3.34196329684117,0.15328762857911,0.158129158020443,0.96938243710431,0.332354411827282,0.720820607469561
"147","g__Serratia","no_IgA",14.7925447772137,0.166700440621021,0.0612190815541576,2.72301439990649,0.00646892381697919,0.0257216732722744
"148","g__Sodalis","no_IgA",2.02140942765644,-0.00917474142711803,0.113840013088611,-0.0805932920964844,0.935765400984295,0.998644113602911
"149","g__Trabulsiella","no_IgA",3.03694231041352,-0.0122842277360245,0.0930660352474948,-0.131994746562013,0.894988447028376,0.998644113602911
"150","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Legionellales_f__Legionellaceae_g__","no_IgA",1.05164375212999,-0.0864413143088451,0.160399759712863,-0.538911744404022,0.589947753084461,0.987422221485336
"151","g__Legionella","no_IgA",2.0165899414927,-0.00449814385251536,0.113887705078646,-0.03949630778326,0.968494697183816,0.998644113602911
"152","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Oceanospirillales_f__Endozoicimonaceae_g__","no_IgA",3.03452575436926,0.0185654094873779,0.0926409459381738,0.20040176942675,0.841166375756241,0.998644113602911
"153","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__","no_IgA",1.04683360448352,0.0589107399394158,0.156245720496047,0.377039062269269,0.706144575957639,0.998644113602911
"154","g__Aggregatibacter","no_IgA",3.18376574612539,0.0648083796062909,0.0899812291015704,0.720243324673144,0.471375193067933,0.894541559572101
"155","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae_g__","no_IgA",2.01658467176104,0.0131325770160872,0.113568049135261,0.115636194476196,0.907940876270538,0.998644113602911
"156","g__Acinetobacter","no_IgA",9.29102223005965,0.00729431099516359,0.0534829267217742,0.136385785937064,0.891516309858689,0.998644113602911
"157","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__","no_IgA",8.46560303445863,0.357950826026929,0.147795089779998,2.42193990720368,0.0154379031867083,0.0548538262166018
"158","g__Pseudomonas","no_IgA",23.7489840112998,-0.107257611913319,0.0547601539206512,-1.95867988371138,0.0501502877259572,0.15227451000427
"159","k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Xanthomonadales_f__Xanthomonadaceae_g__","no_IgA",3.236580586344,-0.0787263329155899,0.0920214410340171,-0.855521626600996,0.392262437056479,0.798875938883317
"160","g__Ignatzschineria","no_IgA",1.06838533659356,0.0513389363016949,0.155719259144647,0.329689060837403,0.741634920221195,0.998644113602911
"161","g__Stenotrophomonas","no_IgA",4.41077893097503,-0.0476098864594779,0.0797673907779543,-0.59685901713907,0.550601511337067,0.978196302056278
"162","g__Brachyspira","no_IgA",2.14887415672436,0.136883892300414,0.108226922402581,1.26478596324891,0.205948064505805,0.513480988585886
"163","g__Anaeroplasma","no_IgA",11.9472404657832,-1.45032467095433,0.208150835954126,-6.96766200484518,3.2225127595275e-12,1.00509587291476e-10
"164","g__Mycoplasma","no_IgA",3.07815259135618,-0.744227257704063,0.168159268177569,-4.42572845237523,9.61173734756771e-06,8.7549086055108e-05
"165","k__Bacteria_p__Tenericutes_c__Mollicutes_o__RF39_f___g__","no_IgA",59.260252473447,0.497400257864283,0.140376014305649,3.54334221786111,0.000395089648547092,0.0021283861712053
"166","k__Bacteria_p__TM7_c__TM7-3_o__CW040_f__F16_g__","no_IgA",6.56047760770537,-0.0550268229089939,0.119105790303649,-0.461999561639346,0.64408163480544,0.998644113602911
"167","g__Akkermansia","no_IgA",124.453008408888,-1.96988935687364,0.273090808614051,-7.2133125492979,5.46068784288944e-13,2.27983717440634e-11
