sample_id	age	sex	cage	diet	name	title	number	strain	weight	age_bin	latitude	taxon_id	age_units	body_site	elevation	env_biome	longitude	phenotype	timepoint	host_taxid	life_stage	mice_group	antibiotics	description	env_feature	env_package	sample_type	weight_unit	body_habitat	body_product	env_material	geo_loc_name	qiita_empo_1	qiita_empo_2	qiita_empo_3	dna_extracted	immune_status	host_subject_id	scientific_name	stam_comparison	experiment_group	prepdescription_	mice_group_number	collection_timestamp	fig_7a_extended_data	fig_7l_extended_data	fig_7m_extended_data	fig_7n_extended_data	fig_7q_extended_data	host_scientific_name	fig_7k1_extended_data	fig_7k2_extended_data	physical_specimen_location	fig_7a_extended_data_groups	fig_7l_extended_data_groups	fig_7m_extended_data_groups	fig_7n_extended_data_groups	fig_7q_extended_data_groups	physical_specimen_remaining	fig_7k1_extended_data_groups	fig_7k2_extended_data_groups	qiita_study_id
10856.E15L.feces.45w.HFD.IgAMup.3.11	45	male	Cage 55	HFD	10856.E15L.feces.45w.HFD.IgAMup.3.11	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 110	C57Bl/6	43.8	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, HCC, no IgA	11 months	10090	adult	Group11-IgAkMup-HFD (10-11M)	No	IgAkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego				TRUE	no IgA - some susceptibility	SS110	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_2_33657_F3	11	1/5/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK2.1E	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK2.1E	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK2.1E	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK2.1E	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_2_33657_E1	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK1.1C	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK1.1C	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK1.1C	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK1.1C	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_1_33657_C1	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK1.1D	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK1.1D	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK1.1D	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK1.1D	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_1_33657_D1	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK5.12B	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK5.12B	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK5.12B	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK5.12B	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_5_33657_B12	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK5.12G	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK5.12G	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK5.12G	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK5.12G	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_5_33657_G12	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK5.12H	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK5.12H	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK5.12H	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK5.12H	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_5_33657_H12	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK4.2G	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK4.2G	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK4.2G	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK4.2G	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_4_33657_G2	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.BLANK4.2E	Not applicable	Not applicable	Not applicable	Not applicable	10856.BLANK4.2E	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	Not applicable	Not applicable	Not applicable	Not applicable	32.5	256318	Not applicable	Not applicable	193	urban biome	-117.25	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK4.2E	research facility	misc environment	control blank	Not applicable	Not applicable	Not applicable	sterile water	USA:CA:San Diego				TRUE	Not applicable	BLANK4.2E	metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_4_33657_E2	Not applicable	2/3/17	FALSE	FALSE	FALSE	FALSE	FALSE	Not applicable	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E32L.feces.30w.HFD.CD8kMup.1.1	30	male	Cage 89	HFD	10856.E32L.feces.30w.HFD.CD8kMup.1.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 190	C57Bl/6	30.2	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, CD8KO	6 months	10090	adult	Group17-CD8kMup-HFD (6M)	No	CD8kMup-HFD (6M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	CD8KO - some susceptibility	SS190	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_F1	17	8/10/16	TRUE	FALSE	FALSE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	not applicable	not applicable	MUP/CD8a-/-	not applicable	FALSE	HFD	HFD MUP/CD8a-/-	10856
10856.B6.PIGRK.Feces.6w.NC.5.66	6	male	Cage 163	NC	10856.B6.PIGRK.Feces.6w.NC.5.66	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 425	C57Bl/6	15.8	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	PigRK	2-4 months	10090	adult	Group57-NC-B6-PIGRK (2-4M)	No	NC-B6-PIGRK	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no PIGR	SS425	mouse gut metagenome	not applicable	A	Karin_Rapid_Response_Plate_5_33657_E8	57	1/26/17	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E12L.feces.38w.HFD.CD4HeMup.16	38	male	Cage 14	HFD	10856.E12L.feces.38w.HFD.CD4HeMup.16	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 33	C57Bl/6	48.6	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS33	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_A6	3	11/23/15	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E12L.feces.38w.HFD.CD4HeMup.15	38	male	Cage 14	HFD	10856.E12L.feces.38w.HFD.CD4HeMup.15	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 32	C57Bl/6	40.1	3	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS32	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_H5	3	11/23/15	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E52L.Col.Fe.47w.HFD.RagkMup.3.7	47	male	Cage 120	HFD	10856.E52L.Col.Fe.47w.HFD.RagkMup.3.7	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 272	C57Bl/6	16.6	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obese, HCC, no b and t cells	11 months	10090	adult	Group26-RagkMupHe-HFD (10-11M)	No	RagkMupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no t and b cells	SS272	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_3_33657_D12	26	1/10/17	FALSE	TRUE	FALSE	FALSE	FALSE	Mus musculus	TRUE	FALSE	UCSD	not applicable	MUP/Rag1-/-	not applicable	not applicable	not applicable	FALSE	HFD	not applicable	10856
10856.Ex3.HFD.11.feces.MupplusIgA..9	46	male	Cage 63	HFD	10856.Ex3.HFD.11.feces.MupplusIgA..9	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 122	C57Bl/6	38-45	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, HCC, no IgA	11 months	10090	adult	Group11-IgAkMup-HFD (10-11M)	No	IgAkMup-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no IgA - some susceptibility	SS122	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_2_33657_B5	11	9/2/15	TRUE	TRUE	TRUE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP/IgA-/-	MUP/IgA-/-	not applicable	not applicable	FALSE	HFD	HFD MUP/IgA-/-	10856
10856.E11L.feces.56w.NC.1.MupHe.1	56	male	Cage 28	NC	10856.E11L.feces.56w.NC.1.MupHe.1	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 53	C57Bl/6	27.8	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH,lean, adenomas	11 months	10090	adult	Group 4-MupHe-NC (10-11M)	No	MupHe-NC (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS53	mouse gut metagenome	not applicable	C	Karin_Rapid_Response_Plate_1_33657_E8	4	12/14/15	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	NC MUP	10856
10856.E24Lb.feces.48w.HFD.CD4HeMup.4.8	48	male	Cage 21	HFD	10856.E24Lb.feces.48w.HFD.CD4HeMup.4.8	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 44	C57Bl/6	51.5	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH, obesity, HCC	11 months	10090	adult	Group 3-MupHe-HFD (10-11M)	No	MupHe-HFD (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS44	mouse gut metagenome	not applicable	D	Karin_Rapid_Response_Plate_1_33657_D7	3	5/16/16	TRUE	TRUE	TRUE	TRUE	FALSE	Mus musculus	TRUE	TRUE	UCSD	HFD	MUP	MUP	MUP	not applicable	FALSE	HFD	HFD MUP	10856
10856.E4L.HFD.feces.ox.MupHe.2	41	male	Cage 7	HFD	10856.E4L.HFD.feces.ox.MupHe.2	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 398	C57Bl/6	26	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	HCC	11 months	10090	adult	Group50-MupHe-HFD-Oxali (10-11M)	No	MupHe-HFD-Oxali (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS398	mouse gut metagenome	not applicable	Not applicable	Karin_Rapid_Response_Plate_5_33657_B5	50	10/22/15	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.FVB.JH.Feces.9w.NC.5.26	9	male	Cage 150	NC	10856.FVB.JH.Feces.9w.NC.5.26	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 375	FVB	32	1	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	no B cell	2-3 months	10090	adult	Group44-NC-JH (2-3M)	No	NC-JH	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	no B cells	SS375	mouse gut metagenome	not applicable	F	Karin_Rapid_Response_Plate_5_33657_G1	44	12/30/16	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	FALSE	FALSE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	not applicable	not applicable	10856
10856.E11L.feces.56w.NC.2.MupHe.2	56	male	Cage 28	NC	10856.E11L.feces.56w.NC.2.MupHe.2	Steatohepatitis progresses to cancer via immunosuppression of HCC directed by CD8+Tcells	sample 54	C57Bl/6	27.7	4	32.5	410661	weeks	UBERON:colon	193	urban biome	-117.25	NASH,lean, adenomas	11 months	10090	adult	Group 4-MupHe-NC (10-11M)	No	MupHe-NC (10-11M)	animal-associated habitat	host-associated	colon content	grams	UBERON:gastro-intestinal system	UBERON:feces	feces	USA:CA:San Diego	Host-associated	Animal	Animal distal gut	TRUE	normal	SS54	mouse gut metagenome	not applicable	C	Karin_Rapid_Response_Plate_1_33657_F8	4	12/14/15	FALSE	FALSE	FALSE	FALSE	FALSE	Mus musculus	TRUE	TRUE	UCSD	not applicable	not applicable	not applicable	not applicable	not applicable	FALSE	NC	NC MUP	10856
